RBP	Gene Symbol	Chromesome	Strand	Exon Start	Exon End	Upstream Exon Start	Upstream Exon End	Downstream Exon Start	Downstream Exon End	ΔPSI	Upstream Motif Presence	Exon Motif Presence	Downstream Motif Presence	Upstream CLIP-seq Peak Presence	Exon CLIP-seq Peak Presence	Downstream CLIP-seq Peak Presence
HNRNPC	DNM1L	chr12	+	32890798	32890876	32890038	32890095	32892997	32893174	0.415	√	×	×	√	×	×
HNRNPU	CBS	chr21	-	44487887	44488070	44486634	44486722	44488618	44488725	0.415	×	√	√	√	×	√
IGF2BP1	IFT80	chr3	-	160109333	160109431	160102351	160102434	160116933	160117035	0.415	√	×	√	×	×	×
TBRG4	PIGN	chr18	-	59829485	59829562	59828365	59828618	59854076	59854246	0.415	×	×	×	×	×	×
U2AF1	XRN1	chr3	-	142095538	142095637	142095090	142095436	142098923	142099022	0.415	×	×	×	×	√	√
U2AF2	SREK1	chr5	+	65454636	65454760	65449290	65449424	65455046	65455162	0.415	√	×	×	√	×	√
DDX55	GEMIN8	chrX	-	14044170	14044340	14039582	14039630	14047895	14048011	0.414	×	×	√	×	×	×
FASTKD2	ZNF558	chr19	-	8932117	8932311	8931855	8931982	8932678	8932767	0.414	×	×	×	×	×	×
FXR1	RP11-313J2.1	chr10	-	42856396	42856482	42848247	42848440	42863263	42863422	0.414	×	×	×	×	×	×
HNRNPU	MAZ	chr16	+	29820860	29821085	29819890	29820062	29821397	29822485	0.414	√	√	√	√	×	×
SFPQ	C6orf48	chr6	+	31804200	31804294	31803187	31803228	31805012	31805212	0.414	×	×	×	×	×	×
SFPQ	ACOX1	chr17	-	73956295	73956456	73953539	73953647	73969705	73969866	0.414	×	×	×	×	×	×
SUPV3L1	PPIP5K2	chr5	+	102522020	102522140	102520372	102520445	102526542	102526683	0.414	×	×	×	×	×	×
FXR1	CSNK2A1	chr20	-	508576	508693	485761	485873	524315	524465	0.413	×	×	×	×	×	×
HNRNPK	HM13	chr20	+	30155880	30156027	30149436	30149539	30156922	30157370	0.413	×	√	×	×	√	√
NCBP2	C16orf13	chr16	-	685517	685774	684736	684797	686093	686260	0.413	√	×	×	×	×	×
PTBP1	RP4-717I23.3	chr1	-	93792158	93792219	93791325	93791452	93802933	93803040	0.413	√	√	×	×	√	√
SRSF1	SUGP2	chr19	-	19104456	19104608	19101698	19101958	19105174	19106089	0.413	×	×	×	√	√	√
IGF2BP2	ASXL1	chr20	+	31017703	31017856	31017140	31017234	31019123	31019287	0.412	×	√	×	×	×	×
SUPV3L1	GPR157	chr1	-	9165544	9165739	9160363	9164693	9171334	9171548	0.412	×	×	×	×	×	×
TIA1	NARF	chr17	+	80436446	80436543	80426639	80426772	80436675	80436794	0.412	√	√	√	×	×	√
HNRNPK	TROVE2	chr1	+	193029003	193029352	193028788	193028906	193038163	193038764	0.411	×	√	×	×	√	×
IGF2BP1	EP400NL	chr12	+	132594312	132594377	132593116	132593227	132599002	132599090	0.411	×	√	√	×	×	×
SFPQ	CASC4	chr15	+	44695084	44695252	44673003	44673174	44705533	44707956	0.411	×	×	×	×	×	×
SFPQ	ATAD2	chr8	-	124424319	124424417	124392768	124392917	124428487	124428590	0.411	×	×	×	×	×	×
DHX30	OCIAD1	chr4	+	48833243	48833415	48833060	48833158	48834636	48834699	0.41	×	×	×	√	×	×
EIF4G2	ZNF107	chr7	+	64150776	64150903	64139550	64139714	64151625	64151752	0.41	×	×	×	×	×	×
HNRNPK	SETD5	chr3	+	9471510	9471735	9470484	9470693	9475528	9475634	0.41	×	×	√	√	×	√
HNRNPK	G2E3	chr14	+	31059737	31059870	31058588	31058690	31061528	31061653	0.41	√	×	×	√	×	×
LARP4	CASP2	chr7	+	142997472	142997533	142997296	142997387	143000876	143001026	0.41	×	×	×	×	×	×
LARP4	PHIP	chr6	-	79714089	79714153	79713446	79713575	79724798	79724933	0.41	×	×	×	×	×	×
NKRF	MBTD1	chr17	-	49336503	49336583	49302368	49302570	49337195	49337427	0.41	√	×	×	√	×	√
TROVE2	MCM8	chr20	+	5953221	5953372	5948475	5948671	5953701	5953842	0.41	×	×	×	×	×	×
HNRNPC	ACSM3	chr16	+	20791118	20791229	20788694	20788902	20792035	20792179	0.409	√	×	×	×	√	×
LARP4	SPATA18	chr4	+	52935986	52936082	52926947	52927063	52938082	52938179	0.409	×	×	×	×	×	×
LARP4	AMY2B	chr1	+	104120111	104120230	104118062	104118162	104120341	104120467	0.409	×	×	×	×	×	×
QKI	NAPB	chr20	-	23375775	23375899	23375558	23375636	23377708	23377825	0.409	×	×	×	×	√	×
SFPQ	USF2	chr19	+	35760705	35760825	35760483	35760602	35761661	35761708	0.409	×	×	×	×	×	×
HNRNPC	RANGAP1	chr22	-	41680904	41681157	41676936	41677086	41681366	41681909	0.408	√	×	√	×	√	√
TBRG4	RP11-407N17.3	chr14	+	39790131	39790260	39788412	39788495	39796067	39796226	0.408	×	×	×	×	×	×
AUH	UNKL	chr16	-	1463846	1464010	1453168	1453345	1464615	1464698	0.407	×	×	×	×	×	×
DDX55	CCDC77	chr12	+	518533	518587	514676	514730	520912	521144	0.407	×	×	×	×	×	×
EIF4G2	ZFAND6	chr15	+	80390757	80390920	80351909	80352151	80423521	80423635	0.407	×	×	×	×	×	×
FXR1	SETD6	chr16	+	58552084	58552135	58550718	58550832	58552304	58552371	0.407	×	×	×	×	×	×
HNRNPK	SOAT2	chr12	+	53499344	53499404	53498890	53499027	53499690	53499798	0.407	×	√	×	√	×	×
LARP7	PIGG	chr4	+	493432	493514	493031	493278	494184	494390	0.407	×	×	×	×	×	×
QKI	LRCH3	chr3	+	197585704	197585776	197581262	197581316	197592293	197592342	0.407	√	×	√	×	×	×
U2AF2	DENND4C	chr9	+	19336701	19336830	19336267	19336412	19340989	19341112	0.407	×	×	√	√	√	√
AGGF1	PRKAB2	chr1	-	146638424	146638518	146634018	146634152	146643567	146643746	0.406	×	×	√	√	√	√
EIF4G2	CALM2	chr2	-	47399552	47399598	47397872	47397903	47403579	47403650	0.406	×	×	×	×	×	×
FXR1	TMEM194A	chr12	-	57463016	57463089	57458428	57458522	57464602	57464676	0.406	×	×	×	×	×	×
CSTF2T	MGRN1	chr16	+	4736259	4736304	4733843	4733933	4738796	4739040	0.405	×	×	×	×	√	√
DDX6	GPR56	chr16	+	57675502	57675620	57653956	57654048	57684164	57684263	0.405	×	×	×	×	×	×
HNRNPK	SORBS2	chr4	-	186560030	186560189	186551702	186551752	186567821	186567936	0.405	×	×	√	√	√	√
SUPV3L1	TARBP1	chr1	-	234536598	234536694	234529391	234529583	234536926	234537008	0.405	×	×	√	×	×	×
U2AF1	ATM	chr11	+	108158136	108158165	108154953	108155200	108158326	108158441	0.405	×	×	√	×	√	√
HNRNPK	AP1G2	chr14	-	24032408	24032484	24031712	24031802	24032588	24032711	0.404	√	×	√	√	×	×
IGF2BP1	PCSK7	chr11	-	117078369	117078451	117077782	117077876	117078685	117078780	0.404	×	×	√	×	×	×
PTBP1	USP16	chr21	+	30398029	30398092	30396971	30397098	30400193	30400295	0.404	√	×	×	√	√	×
QKI	EHBP1	chr2	+	63215065	63215173	63206322	63206470	63217850	63217975	0.404	√	√	×	√	√	×
SUPV3L1	ZNF121	chr19	-	9678323	9678381	9676403	9677785	9678770	9678851	0.404	×	×	×	×	×	×
U2AF2	DRAM2	chr1	-	111682131	111682333	111680144	111680208	111682659	111682684	0.404	×	×	×	√	√	√
DDX55	SETD4	chr21	-	37429681	37429775	37429406	37429502	37431113	37431271	0.403	×	√	×	×	×	×
LARP4	ARMC2	chr6	+	109179401	109179474	109175427	109175688	109190026	109190198	0.403	×	×	×	×	×	×
SFPQ	CHID1	chr11	-	893426	893519	884067	884169	899339	899401	0.403	×	×	×	×	×	×
SRSF9	ITGAE	chr17	-	3626581	3626677	3623600	3623696	3626981	3627148	0.403	×	×	×	×	√	√
SUPV3L1	HPS1	chr10	-	100190887	100191048	100190327	100190427	100193696	100193848	0.403	×	×	×	×	×	×
SUPV3L1	PLSCR4	chr3	-	145918821	145918864	145914191	145914580	145924312	145924548	0.403	×	×	×	×	×	×
TBRG4	GPER1	chr7	+	1127854	1127957	1126442	1126880	1131042	1133451	0.403	×	×	×	×	×	×
TBRG4	ZNF74	chr22	+	20749622	20749708	20748852	20748952	20754921	20755048	0.403	×	×	×	×	×	×
U2AF2	ANKRD10	chr13	-	111555822	111555886	111546455	111546549	111558379	111558442	0.403	×	×	×	√	√	√
U2AF2	EPB41	chr1	+	29385100	29385157	29379615	29379824	29386933	29386996	0.403	×	×	√	√	√	√
AUH	HEXDC	chr17	+	80398348	80398489	80397506	80397589	80398872	80398951	0.402	√	×	×	×	×	×
DDX6	ZNF614	chr19	-	52520828	52520950	52520253	52520612	52521260	52521356	0.402	×	×	×	×	×	×
FMR1	SREK1	chr5	+	65451892	65454760	65449290	65449424	65455046	65455162	0.402	×	√	×	√	√	×
LARP4	CCDC125	chr5	-	68588014	68588174	68581163	68581294	68590619	68590727	0.402	×	×	×	×	×	×
SRSF1	NSUN2	chr5	-	6605399	6605488	6604717	6604798	6606932	6607025	0.402	√	×	×	×	√	√
U2AF1	EPB41	chr1	+	29385100	29385157	29379615	29379824	29386933	29386996	0.402	×	×	×	√	√	√
DDX6	FAM76B	chr11	-	95512241	95512299	95511985	95512121	95512770	95512851	0.401	×	×	×	×	×	×
HNRNPK	ZC3H11A	chr1	+	203765420	203765624	203764833	203764922	203770702	203770756	0.401	×	√	×	√	√	×
HNRNPK	ZNF655	chr7	+	99161485	99161556	99158155	99158318	99169310	99169340	0.401	×	×	√	×	√	×
METAP2	C1orf63	chr1	-	25570944	25570989	25570040	25570715	25571640	25571792	0.401	×	×	×	×	√	√
QKI	ROBO1	chr3	-	78696778	78696805	78695297	78695340	78700881	78701079	0.401	×	×	×	×	√	×
SUPV3L1	FAM76B	chr11	-	95512241	95512299	95511985	95512121	95512770	95512851	0.401	×	×	×	×	×	×
DDX55	FHL2	chr2	-	106013103	106013154	106002817	106002997	106015298	106015681	0.4	×	×	×	×	×	×
DDX6	SLC37A4	chr11	-	118897312	118897398	118896676	118896790	118897646	118897805	0.4	×	×	×	×	×	×
EIF4G2	KIAA0232	chr4	+	6867918	6867990	6862627	6865910	6873300	6873409	0.4	×	×	×	×	×	×
FASTKD2	PARP6	chr15	-	72543185	72543268	72542360	72542433	72543547	72543692	0.4	√	×	×	×	×	×
GRWD1	NAPB	chr20	-	23375775	23375899	23375558	23375636	23383629	23383709	0.4	×	×	×	×	√	√
ILF3	ACBD4	chr17	+	43216387	43216527	43215279	43215355	43220809	43221539	0.4	√	×	×	×	√	√
LARP4	ADAM22	chr7	+	87815929	87816016	87811272	87811339	87822430	87822554	0.4	×	×	×	×	×	×
QKI	ERBB2IP	chr5	+	65364704	65364848	65350460	65350779	65370851	65371058	0.4	×	×	×	√	×	×
SFPQ	CLIP2	chr7	+	73787261	73787366	73778584	73778645	73790216	73791152	0.4	×	×	×	×	×	×
SUB1	CDC14B	chr9	-	99271954	99272071	99262394	99266071	99277930	99278074	0.4	×	×	×	×	×	×
SUPV3L1	FAM3A	chrX	-	153736141	153736213	153735736	153735821	153736619	153736678	0.4	×	×	×	×	×	×
SUPV3L1	SETD4	chr21	-	37429681	37429775	37429406	37429502	37431113	37431271	0.4	×	×	×	×	×	×
U2AF2	ANKRD10	chr13	-	111555818	111555886	111552876	111553041	111558379	111558442	0.4	×	×	×	√	√	√
FXR1	KSR1	chr17	+	25928385	25928427	25924293	25924462	25930859	25930914	0.399	×	×	×	×	×	×
HNRNPM	NAP1L4	chr11	-	3010358	3010501	3000436	3000467	3013483	3013607	0.399	×	×	√	√	√	×
LSM11	SYNRG	chr17	-	35880281	35880317	35878989	35879174	35880640	35880751	0.399	√	×	×	×	×	×
SUPV3L1	LPIN1	chr2	+	11916211	11916319	11913745	11913871	11919644	11919771	0.399	×	×	×	×	×	×
TBRG4	MARK3	chr14	+	103964838	103964865	103957875	103958371	103966492	103966537	0.399	×	×	×	×	×	×
U2AF2	ANKRD11	chr16	-	89358088	89358185	89357420	89357591	89371613	89371752	0.399	×	×	×	×	√	√
DDX6	SRP14-AS1	chr15	+	40356661	40356802	40338161	40338270	40357421	40357906	0.398	×	×	×	×	×	×
EIF4G2	RNF24	chr20	-	3954978	3955047	3944521	3944671	3996083	3996192	0.398	×	×	×	×	×	×
HNRNPC	NUDT7	chr16	+	77770546	77770640	77769724	77769883	77775478	77775866	0.398	√	×	×	×	√	×
PTBP1	TCF20	chr22	-	42564614	42564742	42556018	42557364	42565852	42565902	0.398	√	×	×	√	×	×
SFPQ	HDAC11	chr3	+	13542212	13542289	13524963	13525064	13543370	13544088	0.398	×	×	×	×	×	×
TBRG4	ABCC6	chr16	-	16256849	16257049	16255294	16255421	16259479	16259790	0.398	×	×	×	×	×	×
U2AF2	SMC4	chr3	+	160130317	160130637	160130121	160130241	160131260	160131384	0.398	×	×	√	√	×	√
FXR1	RRN3	chr16	-	15180221	15180311	15179985	15180115	15185171	15185228	0.397	×	×	×	×	×	×
HNRNPM	DCUN1D4	chr4	+	52775085	52775141	52765435	52765544	52777235	52777340	0.397	√	×	×	√	√	×
IGF2BP1	GRB7	chr17	+	37902165	37902253	37901980	37902041	37902361	37902455	0.397	√	×	×	×	×	×
RBFOX2	OCIAD1	chr4	+	48833243	48833369	48833079	48833158	48834636	48834699	0.397	×	×	×	√	×	√
SRSF1	DOCK5	chr8	+	25246324	25246457	25240189	25240294	25246606	25246748	0.397	√	×	×	×	√	√
TIA1	OCIAD1	chr4	+	48833243	48833415	48833060	48833158	48834636	48834699	0.397	×	√	×	√	√	√
U2AF2	ANKRD10	chr13	-	111555822	111555886	111552876	111553041	111558379	111558442	0.397	×	×	×	√	√	√
DDX6	MPND	chr19	+	4357947	4358169	4357511	4357582	4359159	4359220	0.396	×	×	×	×	×	×
FXR1	TMEM126A	chr11	+	85361355	85361385	85359064	85359133	85365106	85365300	0.396	×	×	×	×	×	×
SFPQ	STX16	chr20	+	57234678	57234721	57226338	57227194	57242545	57242653	0.396	×	×	×	×	×	×
TBRG4	WASF3	chr13	+	27254171	27254338	27246008	27246126	27255190	27255457	0.396	×	×	×	×	×	×
TBRG4	AHSG	chr3	+	186334231	186334316	186330854	186331143	186338374	186339107	0.396	×	×	×	×	×	×
TBRG4	SLC7A2	chr8	+	17412454	17412591	17409272	17409495	17415803	17415906	0.396	×	×	×	×	×	×
DDX55	CENPJ	chr13	-	25463453	25463538	25459743	25459808	25466780	25467005	0.395	×	×	√	×	×	×
DDX6	ZNF232	chr17	-	5012220	5012347	5009067	5009828	5012688	5013163	0.395	×	×	×	×	×	×
LARP7	SCMH1	chr1	-	41499654	41499720	41494255	41494398	41503033	41503213	0.395	×	×	×	×	×	×
SFPQ	C6orf48	chr6	+	31804075	31804294	31803187	31803228	31805012	31805212	0.395	×	×	×	×	×	×
IGF2BP1	PPP1R13L	chr19	-	45908256	45908339	45901521	45901597	45909549	45909585	0.394	×	×	×	×	×	×
LARP7	ZNF30	chr19	+	35433497	35433577	35424531	35424627	35434126	35436069	0.394	×	×	×	×	×	×
SUB1	NKD1	chr16	+	50651663	50651716	50649959	50650151	50655512	50655619	0.394	×	×	×	×	×	×
DDX6	SEC13	chr3	-	10360822	10360856	10359753	10359778	10362733	10362766	0.393	×	×	×	×	×	×
DDX6	SLCO4A1	chr20	+	61299506	61299536	61299092	61299262	61299828	61299956	0.393	√	×	×	×	×	×
FASTKD2	PRR3	chr6	+	30525926	30525989	30525092	30525227	30529610	30529901	0.393	×	×	×	×	×	×
EIF4G2	ZNF107	chr7	+	64150808	64150903	64139550	64139714	64151625	64151752	0.392	×	×	×	×	×	×
FXR1	RP11-313J2.1	chr10	-	42856396	42856482	42831548	42833688	42863263	42863422	0.392	×	×	×	×	×	×
HNRNPC	SRSF11	chr1	+	70697541	70697658	70694104	70694238	70697950	70698058	0.392	√	×	×	√	√	×
IGF2BP1	RAP1A	chr1	+	112170091	112170185	112162398	112162556	112233955	112234039	0.392	×	×	×	×	×	×
QKI	RAI14	chr5	+	34813678	34813765	34812284	34812313	34814687	34814774	0.392	√	×	×	√	×	×
PUS1	SPRED2	chr2	-	65571569	65571728	65561762	65561907	65571852	65571920	0.391	×	×	√	×	×	×
QKI	SORBS2	chr4	-	186605907	186605996	186599949	186599976	186611715	186611765	0.391	√	√	√	×	×	×
TBRG4	CEP95	chr17	+	62512840	62512946	62510365	62510476	62515438	62515554	0.391	×	×	×	×	×	×
TROVE2	MLLT10	chr10	+	21977419	21977467	21970260	21970305	22002700	22002879	0.391	×	×	×	×	×	×
UCHL5	CEACAM1	chr19	-	43015727	43015780	43015040	43015072	43016501	43016631	0.391	√	×	√	×	√	√
IGF2BP2	ZNF655	chr7	+	99159510	99159596	99158155	99158318	99169310	99169415	0.39	×	×	×	×	×	×
RBM22	ATF7IP2	chr16	+	10481234	10481341	10479914	10479979	10508430	10508469	0.39	×	×	√	√	×	√
DDX55	TAF6	chr7	-	99716140	99716272	99711676	99711891	99716826	99716995	0.389	×	×	×	×	×	×
HNRNPK	MAPK12	chr22	-	50696332	50696570	50695510	50695622	50696671	50696730	0.389	×	×	×	×	√	√
LARP4	LINC00969	chr3	+	195390494	195390638	195389441	195389604	195390956	195391121	0.389	×	×	×	×	×	×
NONO	WDR27	chr6	-	170064531	170064728	170064261	170064382	170064865	170065188	0.389	×	×	√	×	√	√
RBFOX2	OCIAD1	chr4	+	48833243	48833450	48833079	48833158	48834636	48834699	0.389	×	×	×	√	×	√
SUB1	SPATS2	chr12	+	49765010	49765073	49761302	49761370	49854552	49854820	0.389	×	√	×	×	×	×
XRN2	DNAJB6	chr7	+	157202488	157208223	157178234	157178305	157208709	157210127	0.389	√	√	×	×	×	×
DDX55	SEMA3B	chr3	+	50312748	50312890	50312442	50312484	50312990	50313040	0.388	×	√	×	√	×	×
FASTKD2	AURKA	chr20	-	54963742	54963840	54963211	54963258	54967223	54967252	0.388	×	×	×	×	×	×
FASTKD2	ZNF558	chr19	-	8932117	8932357	8931855	8931982	8932678	8932767	0.388	×	×	×	×	×	×
HNRNPC	FXR1	chr3	+	180693100	180693192	180687945	180688146	180693909	180694367	0.388	√	√	√	√	×	×
NOL12	ATP5SL	chr19	-	41939176	41939339	41937243	41938313	41939441	41939578	0.388	×	×	×	×	×	×
PTBP1	ZFAS1	chr20	+	47897400	47897501	47897021	47897107	47905581	47905797	0.388	√	×	×	√	×	×
PTBP1	SETD5-AS1	chr3	-	9437189	9437263	9432995	9433510	9439107	9439188	0.388	√	×	×	×	√	√
DDX55	ZNF142	chr2	-	219516423	219516545	219515081	219515249	219520872	219521186	0.387	×	×	×	×	×	×
DDX55	HPS5	chr11	-	18339297	18339454	18333460	18333571	18343492	18343721	0.387	×	×	×	×	×	×
HNRNPA1	ANKRD10	chr13	-	111552876	111553041	111545543	111545610	111558379	111558471	0.387	×	×	√	√	×	√
LARP7	PPP1R21	chr2	+	48689334	48689439	48688276	48688371	48692075	48692128	0.387	×	×	×	×	×	×
NOL12	TBC1D25	chrX	+	48403256	48403411	48399672	48399830	48417284	48417412	0.387	×	×	×	×	×	×
EIF4G2	COA1	chr7	-	43705256	43705321	43696814	43696868	43769027	43769316	0.386	√	×	×	×	×	×
HNRNPA1	SETD5	chr3	+	9495688	9495785	9495422	9495552	9506108	9506638	0.386	×	√	×	×	×	√
HNRNPK	G2E3	chr14	+	31059737	31059931	31058588	31058690	31061528	31061653	0.386	√	×	×	√	×	×
IGF2BP2	SDR39U1	chr14	-	24911314	24911466	24910883	24911001	24911551	24911581	0.386	×	×	√	×	×	×
LARP4	HYAL2	chr3	-	50358796	50359204	50356999	50357966	50360083	50360208	0.386	×	×	×	×	×	×
U2AF2	DRAM2	chr1	-	111682142	111682333	111680144	111680208	111682659	111682684	0.386	×	×	×	√	√	√
DDX55	SUCO	chr1	+	172546678	172546699	172544657	172544763	172546903	172546959	0.385	×	×	×	×	×	×
NOL12	GTF2I	chr7	+	74158477	74158589	74157787	74157859	74159096	74159280	0.385	×	×	×	×	×	×
SRSF1	SUGP2	chr19	-	19104446	19104549	19101696	19101958	19105174	19105295	0.385	×	×	×	√	√	√
DDX55	MST1	chr3	-	49723494	49723528	49723292	49723395	49723745	49723914	0.384	×	×	×	√	×	×
HNRNPK	ZC3H11A	chr1	+	203765420	203765482	203764833	203764922	203765578	203765735	0.384	×	×	√	√	×	√
LARP4	RP11-156P1.3	chr17	-	45131483	45131579	45110685	45110747	45133825	45134119	0.384	×	×	×	×	×	×
LARP4	NKTR	chr3	+	42668691	42672067	42661507	42663008	42672662	42672808	0.384	×	√	×	×	√	×
LSM11	NFAT5	chr16	+	69680419	69680481	69660305	69660431	69680930	69681489	0.384	×	×	×	×	×	×
U2AF1	PEG3	chr19	-	57345317	57345352	57337755	57337831	57347385	57347472	0.384	×	×	×	×	√	√
PTBP1	ZFAS1	chr20	+	47897439	47897501	47897021	47897107	47905581	47905797	0.383	√	×	×	√	×	×
RBFOX2	SEC31A	chr4	-	83763337	83763494	83750152	83750211	83765538	83765662	0.383	×	×	×	√	√	×
SUB1	PIP5K1B	chr9	+	71357416	71357573	71320615	71320678	71433376	71433461	0.383	×	×	×	×	×	×
AUH	CLEC2B	chr12	-	10015097	10015172	10010072	10010236	10021803	10022735	0.382	×	×	×	×	×	×
DDX6	GK	chrX	+	30688500	30688702	30683627	30683701	30695491	30695569	0.382	×	×	√	×	×	×
LARP7	SDHAP1	chr3	-	195713389	195713475	195712497	195712660	195717060	195717187	0.382	×	×	×	×	×	×
LSM11	GTF2H2C	chr5	+	68863553	68863604	68862793	68862880	68863979	68864034	0.382	×	×	×	×	×	×
U2AF1	SREK1	chr5	+	65451892	65452030	65449290	65449424	65454636	65454760	0.382	×	×	×	×	√	√
U2AF1	GANAB	chr11	-	62401781	62401938	62400913	62400986	62402292	62402472	0.382	√	×	×	√	√	×
UCHL5	FAM45A	chr10	+	120864275	120864518	120863603	120863709	120867479	120867676	0.382	×	×	×	×	√	√
DDX6	FOSL1	chr11	-	65661484	65661592	65660474	65660767	65664279	65664477	0.381	×	×	×	×	×	×
EIF4G2	TMUB2	chr17	+	42265043	42265111	42264337	42264477	42265274	42265377	0.381	×	×	×	×	×	×
QKI	MAGI1	chr3	-	65361419	65361623	65350527	65350621	65364935	65365229	0.381	×	×	√	√	×	×
SAFB2	SLC35A3	chr1	+	100440526	100440625	100435534	100435718	100459092	100459297	0.381	×	×	×	×	×	×
FASTKD2	GRB10	chr7	-	50799968	50800065	50771517	50771605	50823583	50823753	0.38	×	×	×	×	×	×
HNRNPM	NAP1L4	chr11	-	3010358	3010501	3000436	3000467	3013483	3013607	0.38	×	×	√	√	√	×
LARP7	SMTN	chr22	+	31476435	31476740	31460103	31460173	31479164	31479295	0.38	×	×	×	×	×	×
LSM11	ANKRD12	chr18	+	9204473	9204542	9195548	9195696	9208654	9208801	0.38	×	×	×	×	×	×
SRSF1	DOCK5	chr8	+	25246324	25246462	25240189	25240294	25246606	25246748	0.38	√	×	×	×	√	√
U2AF1	RAPGEF2	chr4	+	160265187	160265211	160264432	160264556	160266257	160266481	0.38	×	×	×	×	√	√
U2AF2	PDE8A	chr15	+	85633948	85634146	85632568	85632647	85634274	85634412	0.38	×	×	×	√	√	√
U2AF2	ZNF138	chr7	+	64291317	64291454	64275953	64276031	64291828	64292181	0.38	√	×	√	×	√	√
U2AF2	STRN3	chr14	-	31398406	31398517	31382729	31382863	31404368	31404510	0.38	×	×	×	×	√	√
DDX55	LRP8	chr1	-	53738275	53738314	53736898	53737018	53741302	53741335	0.379	×	×	×	×	×	×
HNRNPC	CPSF1	chr8	-	145628261	145628385	145627039	145627067	145634398	145634556	0.379	√	×	×	√	×	×
ILF3	RP11-514P8.7	chr7	-	102207028	102207183	102181947	102182109	102207443	102207530	0.379	√	√	√	×	×	×
RBM22	IP6K2	chr3	-	48731891	48731958	48730885	48731673	48732522	48732854	0.379	√	×	×	√	√	×
SRSF1	SUGP2	chr19	-	19104456	19104549	19101698	19101958	19105174	19106089	0.379	×	×	×	√	√	√
SUB1	SLC50A1	chr1	+	155109303	155109427	155108774	155108852	155110454	155110574	0.379	×	×	×	×	×	×
DDX6	SLCO4A1	chr20	+	61299509	61299536	61299221	61299262	61299828	61299956	0.378	√	×	×	×	×	×
HNRNPC	NQO2	chr6	+	3004728	3004885	3003902	3004023	3006701	3006793	0.378	×	×	√	√	√	×
QKI	NAALAD2	chr11	+	89892406	89892505	89891312	89891406	89896116	89896202	0.378	×	×	×	√	×	×
HNRNPK	INO80E	chr16	+	30012734	30012851	30012249	30012361	30016541	30017114	0.377	√	√	√	√	×	√
HNRNPK	GUK1	chr1	+	228334150	228334346	228333726	228333768	228334561	228334639	0.377	√	√	×	×	√	×
LARP4	PACRGL	chr4	+	20709425	20709493	20706282	20706437	20715054	20715162	0.377	×	×	×	×	×	×
TAF15	LINC01021	chr5	+	27477786	27477908	27475641	27475802	27485032	27485136	0.377	×	√	√	√	×	√
U2AF2	KTN1	chr14	+	56130672	56130759	56128239	56128330	56133958	56134048	0.377	×	×	×	√	√	√
DDX6	RP4-769N13.6	chrX	+	101855847	101855960	101854464	101854775	101856391	101856437	0.376	×	×	×	×	×	×
U2AF2	HNRNPA2B1	chr7	-	26230675	26230793	26229744	26230080	26232114	26232148	0.376	√	×	√	√	√	×
DDX6	HDHD2	chr18	-	44663605	44663667	44662709	44662820	44676748	44676847	0.375	√	×	×	×	×	×
HNRNPK	FKBP10	chr17	+	39976092	39976275	39975781	39975927	39976520	39976713	0.375	√	×	√	√	√	√
NOL12	STK19	chr6	+	31940397	31940696	31940128	31940288	31946679	31946775	0.375	×	×	×	×	×	×
QKI	CEACAM1	chr19	-	43015727	43015780	43015040	43015072	43016501	43016631	0.375	×	×	×	×	×	√
RBFOX2	LINC00963	chr9	+	132255697	132255874	132251487	132251578	132265601	132266553	0.375	×	×	×	×	×	√
U2AF1	PTPRS	chr19	-	5218797	5218975	5218430	5218543	5219320	5219478	0.375	×	√	√	√	√	√
U2AF2	ANKRD11	chr16	-	89358088	89358207	89357420	89357591	89371613	89371752	0.375	×	×	×	×	√	√
DDX55	AC002055.4	chr22	+	51227177	51227226	51223600	51223721	51227319	51227781	0.374	×	√	×	×	×	×
EIF4G2	RNF216P1	chr7	+	5035105	5035213	5024540	5024706	5036240	5037800	0.374	×	√	×	×	×	×
HNRNPM	SNHG17	chr20	-	37050733	37050888	37049652	37049745	37055061	37055146	0.374	×	√	√	√	√	√
LARP4	CASP10	chr2	+	202068452	202068489	202060564	202060671	202072797	202072906	0.374	×	×	×	×	×	×
PTBP1	MAP2K7	chr19	+	7970692	7970740	7968769	7968953	7974639	7974781	0.374	×	×	√	×	×	√
DDX6	NFRKB	chr11	-	129754880	129754990	129754639	129754741	129755329	129755504	0.373	×	×	×	×	×	×
DDX6	TRA2A	chr7	-	23561739	23562051	23561325	23561459	23571407	23571599	0.373	×	×	×	×	×	×
EIF4G2	PPIP5K1	chr15	-	43857064	43857190	43850992	43851130	43860660	43860714	0.373	√	×	×	×	×	×
EIF4G2	BAI3	chr6	+	69347282	69347454	69345258	69345892	69348552	69349324	0.373	√	×	×	×	×	×
IGF2BP2	ISYNA1	chr19	-	18547782	18547915	18547139	18547289	18548408	18548570	0.373	×	×	×	√	×	×
U2AF2	EPB41L2	chr6	-	131191467	131191521	131190798	131191266	131197813	131197915	0.373	×	×	√	√	√	√
DDX6	MIR4435-1HG	chr2	-	111991204	111991316	111965352	111966238	112101637	112101814	0.372	×	×	×	×	×	×
FASTKD2	TRAPPC6A	chr19	-	45668384	45668452	45668110	45668228	45681392	45681495	0.372	×	×	×	×	×	×
